#date+time,051-pwl,051-surge,051-wsd,051-wdr
"06-02-2008 1724",NA,NA,NA,NA
"06-02-2008 1730",NA,NA,NA,NA
"06-02-2008 1736",NA,NA,NA,NA
"06-02-2008 1742",NA,NA,NA,NA
"06-02-2008 1748",NA,NA,NA,NA
"06-02-2008 1754",NA,NA,NA,NA
"06-02-2008 1800",NA,NA,NA,NA
"06-02-2008 1806",NA,NA,NA,NA
"06-02-2008 1812",NA,NA,NA,NA
"06-02-2008 1818",NA,NA,NA,NA
"06-02-2008 1824",NA,NA,NA,NA
"06-02-2008 1830",NA,NA,NA,NA
"06-02-2008 1836",NA,NA,NA,NA
"06-02-2008 1842",NA,NA,NA,NA
"06-02-2008 1848",NA,NA,NA,NA
"06-02-2008 1854",NA,NA,NA,NA
"06-02-2008 1900",NA,NA,NA,NA
"06-02-2008 1906",NA,NA,NA,NA
"06-02-2008 1912",NA,NA,NA,NA
"06-02-2008 1918",NA,NA,NA,NA
"06-02-2008 1924",NA,NA,NA,NA
"06-02-2008 1930",NA,NA,NA,NA
"06-02-2008 1936",NA,NA,NA,NA
"06-02-2008 1942",NA,NA,NA,NA
"06-02-2008 1948",NA,NA,NA,NA
"06-02-2008 1954",NA,NA,NA,NA
"06-02-2008 2000",NA,NA,NA,NA
"06-02-2008 2006",NA,NA,NA,NA
"06-02-2008 2012",NA,NA,NA,NA
"06-02-2008 2018",NA,NA,NA,NA
"06-02-2008 2024",NA,NA,NA,NA
"06-02-2008 2030",NA,NA,NA,NA
"06-02-2008 2036",NA,NA,NA,NA
"06-02-2008 2042",NA,NA,NA,NA
"06-02-2008 2048",NA,NA,NA,NA
"06-02-2008 2054",NA,NA,NA,NA
"06-02-2008 2100",NA,NA,NA,NA
"06-02-2008 2106",NA,NA,NA,NA
"06-02-2008 2112",NA,NA,NA,NA
"06-02-2008 2118",NA,NA,NA,NA
"06-02-2008 2124",NA,NA,NA,NA
"06-02-2008 2130",NA,NA,NA,NA
"06-02-2008 2136",NA,NA,NA,NA
"06-02-2008 2142",NA,NA,NA,NA
"06-02-2008 2148",NA,NA,NA,NA
"06-02-2008 2154",NA,NA,NA,NA
"06-02-2008 2200",NA,NA,NA,NA
"06-02-2008 2206",NA,NA,NA,NA
"06-02-2008 2212",NA,NA,NA,NA
"06-02-2008 2218",NA,NA,NA,NA
"06-02-2008 2224",NA,NA,NA,NA
"06-02-2008 2230",NA,NA,NA,NA
"06-02-2008 2236",NA,NA,NA,NA
"06-02-2008 2242",NA,NA,NA,NA
