#date+time,051-pwl,051-surge,051-wsd,051-wdr
"03-02-2011 1118",1.224,-0.114,NA,NA
"03-02-2011 1124",1.218,-0.115,NA,NA
"03-02-2011 1130",1.218,-0.110,NA,NA
"03-02-2011 1136",1.212,-0.112,NA,NA
"03-02-2011 1142",1.207,-0.112,NA,NA
"03-02-2011 1148",1.203,-0.111,NA,NA
"03-02-2011 1154",1.196,-0.114,NA,NA
"03-02-2011 1200",1.198,-0.108,2.000,274
"03-02-2011 1206",1.186,-0.116,NA,NA
"03-02-2011 1212",1.172,-0.126,NA,NA
"03-02-2011 1218",1.160,-0.134,NA,NA
"03-02-2011 1224",1.154,-0.136,NA,NA
"03-02-2011 1230",1.154,-0.132,NA,NA
"03-02-2011 1236",1.152,-0.131,NA,NA
"03-02-2011 1242",1.143,-0.137,NA,NA
"03-02-2011 1248",1.139,-0.138,NA,NA
"03-02-2011 1254",1.137,-0.137,NA,NA
"03-02-2011 1300",1.136,-0.135,3.100,286
"03-02-2011 1306",1.131,-0.138,NA,NA
"03-02-2011 1312",1.129,-0.137,NA,NA
"03-02-2011 1318",1.125,-0.139,NA,NA
"03-02-2011 1324",1.124,-0.138,NA,NA
"03-02-2011 1330",1.118,-0.143,NA,NA
"03-02-2011 1336",1.116,-0.144,NA,NA
"03-02-2011 1342",1.118,-0.141,NA,NA
"03-02-2011 1348",1.116,-0.142,NA,NA
"03-02-2011 1354",1.114,-0.143,NA,NA
"03-02-2011 1400",1.113,-0.144,2.300,281
"03-02-2011 1406",1.114,-0.143,NA,NA
"03-02-2011 1412",1.119,-0.139,NA,NA
"03-02-2011 1418",1.120,-0.138,NA,NA
"03-02-2011 1424",1.120,-0.139,NA,NA
"03-02-2011 1430",1.116,-0.144,NA,NA
"03-02-2011 1436",1.117,-0.145,NA,NA
"03-02-2011 1442",1.133,-0.130,NA,NA
"03-02-2011 1448",1.104,-0.161,NA,NA
"03-02-2011 1454",1.116,-0.152,NA,NA
"03-02-2011 1500",1.113,-0.157,1.300,23
"03-02-2011 1506",1.114,-0.159,NA,NA
"03-02-2011 1512",1.117,-0.159,NA,NA
"03-02-2011 1518",1.129,-0.150,NA,NA
"03-02-2011 1524",1.121,-0.161,NA,NA
"03-02-2011 1530",1.121,-0.165,NA,NA
"03-02-2011 1536",1.123,-0.167,NA,NA
"03-02-2011 1542",1.131,-0.163,NA,NA
"03-02-2011 1548",1.135,-0.163,NA,NA
"03-02-2011 1554",1.144,-0.158,NA,NA
"03-02-2011 1600",1.148,-0.159,1.500,353
"03-02-2011 1606",1.148,-0.164,NA,NA
"03-02-2011 1612",1.153,-0.163,NA,NA
"03-02-2011 1618",1.159,-0.162,NA,NA
"03-02-2011 1624",1.170,-0.156,NA,NA
"03-02-2011 1630",1.181,-0.151,NA,NA
"03-02-2011 1636",1.184,-0.153,NA,NA
"03-02-2011 1642",1.193,-0.149,NA,NA
"03-02-2011 1648",1.201,-0.147,NA,NA
"03-02-2011 1654",1.206,-0.148,NA,NA
"03-02-2011 1700",1.205,-0.154,1.600,8
"03-02-2011 1706",1.202,-0.163,NA,NA
"03-02-2011 1712",1.202,-0.169,NA,NA
"03-02-2011 1718",1.206,-0.171,NA,NA
"03-02-2011 1724",1.213,-0.170,NA,NA
"03-02-2011 1730",1.210,-0.179,NA,NA
"03-02-2011 1736",1.220,-0.175,NA,NA
"03-02-2011 1742",1.230,-0.171,NA,NA
"03-02-2011 1748",1.230,-0.177,NA,NA
"03-02-2011 1754",1.242,-0.171,NA,NA
"03-02-2011 1800",1.250,-0.169,2.500,1
"03-02-2011 1806",1.257,-0.168,NA,NA
"03-02-2011 1812",1.262,-0.169,NA,NA
"03-02-2011 1818",1.263,-0.174,NA,NA
"03-02-2011 1824",1.265,-0.178,NA,NA
"03-02-2011 1830",1.268,-0.181,NA,NA
"03-02-2011 1836",1.274,-0.181,NA,NA
